,ticker,name,sectors,industry
100,ANTGRAPHIC,Antarctica Limited,Consumer Cyclical,Packaging & Containers
101,ANUP,The Anup Engineering Limited,Industrials,Specialty Industrial Machinery
102,ANURAS,Anupam Rasayan India Ltd,Basic Materials,Specialty Chemicals
103,APARINDS,Apar Industries Limited,Industrials,Electrical Equipment & Parts
104,APCL,Anjani Portland Cement Limited,Basic Materials,Building Materials
105,APCOTEXIND,Apcotex Industries Limited,Basic Materials,Specialty Chemicals
106,APEX,Apex Frozen Foods Limited,Consumer Defensive,Farm Products
107,APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel
108,APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Drug Manufacturers—Specialty & Generic
109,APOLLO,Apollo Micro Systems Limited,Industrials,Aerospace & Defense
110,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities
111,APOLLOPIPE,Apollo Pipes Limited,Industrials,Building Products & Equipment
112,APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,Auto Parts
113,APOLSINHOT,Apollo Sindoori Hotels Limited,Consumer Cyclical,Lodging
114,APTECHT,Aptech Limited,Consumer Defensive,Education & Training Services
115,APTUS,Aptus Value Housing Finance India Limited,Financial Services,Mortgage Finance
116,ARCHIDPLY,Archidply Industries Limited,Basic Materials,Lumber & Wood Production
117,ARCHIES,Archies Limited,Consumer Cyclical,Specialty Retail
118,ARENTERP,Rajdarshan Industries Limited,Basic Materials,Other Industrial Metals & Mining
119,ARIES,Aries Agro Limited,Basic Materials,Agricultural Inputs
120,ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Capital Markets
121,ARIHANTSUP,Arihant Superstructures Limited,Real Estate,Real Estate—Development
122,ARMANFIN,Arman Financial Services Limited,Financial Services,Credit Services
123,AROGRANITE,Aro Granite Industries Limited,Industrials,Building Products & Equipment
124,ARROWGREEN,Arrow Greentech Limited,Consumer Cyclical,Packaging & Containers
125,ARSHIYA,Arshiya Limited,Industrials,Integrated Freight & Logistics
126,ARSSINFRA,ARSS Infrastructure Projects Limited,Industrials,Infrastructure Operations
127,ARTEMISMED,Artemis Medicare Services Limited,,
128,ARTNIRMAN,Art Nirman Limited,Real Estate,Real Estate—Development
129,ARVEE,Arvee Laboratories (India) Ltd.,Basic Materials,Specialty Chemicals
130,ARVIND,Arvind Limited,Consumer Cyclical,Textile Manufacturing
131,ARVINDFASN,Arvind Fashions Limited,Consumer Cyclical,Apparel Manufacturing
132,ARVSMART,Arvind SmartSpaces Limited,Real Estate,Real Estate—Development
133,ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,Auto Parts
134,ASAHISONG,Asahi Songwon Colors Limited,Basic Materials,Specialty Chemicals
135,ASAL,Automotive Stampings and Assemblies Limited,Consumer Cyclical,Auto Parts
136,ASALCBR,Associated Alcohols & Breweries Limited,Consumer Defensive,Beverages—Wineries & Distilleries
137,ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Other Industrial Metals & Mining
138,ASHIANA,Ashiana Housing Limited,Real Estate,Real Estate—Development
139,ASHIMASYN,Ashima Limited,Consumer Cyclical,Textile Manufacturing
140,ASHOKA,Ashoka Buildcon Limited,Industrials,Engineering & Construction
141,ASHOKLEY,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery
142,ASIANENE,Asian Energy Services Limited,Energy,Oil & Gas Equipment & Services
143,ASIANHOTNR,Asian Hotels (North) Limited,Consumer Cyclical,Lodging
144,ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals
145,ASIANTILES,Asian Granito India Limited,Industrials,Building Products & Equipment
146,ASPINWALL,Aspinwall and Company Limited,Consumer Defensive,Farm Products
147,ASTEC,Astec LifeSciences Limited,Basic Materials,Agricultural Inputs
148,ASTERDM,Aster DM Healthcare Limited,Healthcare,Medical Care Facilities
149,ASTRAL,Astral Limited,Industrials,Building Products & Equipment
150,ASTRAMICRO,Astra Microwave Products Limited,Technology,Communication Equipment
151,ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Drug Manufacturers—Specialty & Generic
152,ASTRON,Astron Paper & Board Mill Limited,Basic Materials,Paper & Paper Products
153,ATFL,Agro Tech Foods Limited,Consumer Defensive,Packaged Foods
154,ATGL,Adani Total Gas Limited,Utilities,Utilities—Regulated Gas
155,ATLANTA,Atlanta Limited,Industrials,Infrastructure Operations
156,ATUL,Atul Ltd,Basic Materials,Specialty Chemicals
157,ATULAUTO,Atul Auto Limited,Consumer Cyclical,Auto Manufacturers
158,AUBANK,AU Small Finance Bank Limited,Financial Services,Banks—Regional
159,AURIONPRO,Aurionpro Solutions Limited,Technology,Software—Infrastructure
160,AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers—Specialty & Generic
161,AURUM,Aurum PropTech Limited,Technology,Information Technology Services
162,AUSOMENT,AuSom Enterprise Limited,Financial Services,Capital Markets
163,AUTOAXLES,Automotive Axles Limited,Consumer Cyclical,Auto Parts
164,AUTOIND,Autoline Industries Limited,Consumer Cyclical,Auto Parts
165,AVADHSUGAR,Avadh Sugar & Energy Limited,Consumer Defensive,Confectioners
166,AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,Packaged Foods
167,AVROIND,Avro India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
168,AVTNPL,AVT Natural Products Limited,Basic Materials,Specialty Chemicals
169,AWHCL,Antony Waste Handling Cell Limited,Industrials,Waste Management
170,AWL,Adani Wilmar Limited,Consumer Defensive,Farm Products
171,AXISBANK,Axis Bank Limited,Financial Services,Banks—Regional
172,AXISCADES,Axiscades Technologies Limited,Industrials,Engineering & Construction
173,AXITA,Axita Cotton Limited,Consumer Cyclical,Textile Manufacturing
174,AYMSYNTEX,AYM Syntex Limited,Consumer Cyclical,Textile Manufacturing
175,BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Drug Manufacturers—Specialty & Generic
176,BAGFILMS,B.A.G. Films and Media Limited,Communication Services,Broadcasting
177,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers
